Aba;Endereco;FormulaR1C1;Valor
Analitos;Z20;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));171.24
Analitos;AA20;=IF(RC25="","",RC5-(RC5-RC25)*1.1);151.836
Analitos;AB20;=IF(RC26="","",RC5+(RC26-RC5)*1.1);172.164
Analitos;AC20;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));74.9
Analitos;AD20;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));90.5
Analitos;AE20;=IF(RC29="","",RC7-(RC7-RC29)*1.1);74.12
Analitos;AF20;=IF(RC30="","",RC7+(RC30-RC7)*1.1);91.28
Analitos;Q21;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
Analitos;R21;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));9
Analitos;S21;=IF(RC1="","",IF(RC11<>"",RC11/3,""));3
Analitos;T21;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y21;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));29.763000888029
Analitos;Z21;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));36.6006354756073
Analitos;AA21;=IF(RC25="","",RC5-(RC5-RC25)*1.1);29.4211191586501
Analitos;AB21;=IF(RC26="","",RC5+(RC26-RC5)*1.1);36.9425172049862
Analitos;AC21;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));88.1
Analitos;AD21;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));107.3
Analitos;AE21;=IF(RC29="","",RC7-(RC7-RC29)*1.1);87.14
Analitos;AF21;=IF(RC30="","",RC7+(RC30-RC7)*1.1);108.26
